CountryCode,Language,Percentage
DNK,Norwegian,0.3
DNK,Swedish,0.3
DNK,Turkish,0.8
DOM,Creole French,2.0
DOM,Spanish,98.0
DZA,Arabic,86.0
DZA,Berberi,14.0
ECU,Ketšua,7.0
ECU,Spanish,93.0
EGY,Arabic,98.8
EGY,Sinaberberi,0.0
ERI,Afar,4.3
ERI,Bilin,3.0
ERI,Hadareb,3.8
ERI,Saho,3.0
ERI,Tigre,31.7
ERI,Tigrinja,49.1
ESH,Arabic,100.0
ESP,Basque,1.6
ESP,Catalan,16.9
ESP,Galecian,6.4
ESP,Spanish,74.4
EST,Belorussian,1.4
EST,Estonian,65.3
EST,Finnish,0.7
EST,Russian,27.8
EST,Ukrainian,2.8
ETH,Amhara,30.0
ETH,Gurage,4.7
ETH,Oromo,31.0
ETH,Sidamo,3.2
ETH,Somali,4.1
ETH,Tigrinja,7.2
ETH,Walaita,2.8
FIN,Estonian,0.2
FIN,Finnish,92.7
FIN,Russian,0.4
FIN,Saame,0.0
FIN,Swedish,5.7
FJI,Fijian,50.8
FJI,Hindi,43.7
FLK,English,0.0
FRA,Arabic,2.5
FRA,French,93.6
FRA,Italian,0.4
FRA,Portuguese,1.2
FRA,Spanish,0.4
FRA,Turkish,0.4
FRO,Danish,0.0
FRO,Faroese,100.0
FSM,Kosrean,7.3
FSM,Mortlock,7.6
FSM,Pohnpei,23.8
FSM,Trukese,41.6
FSM,Wolea,3.7
FSM,Yap,5.8
GAB,Fang,35.8
GAB,Mbete,13.8
GAB,Mpongwe,14.6
GAB,Punu-sira-nzebi,17.1
GBR,English,97.3
GBR,Gaeli,0.1
GBR,Kymri,0.9
GEO,Abhyasi,1.7
GEO,Armenian,6.8
GEO,Azerbaijani,5.5
GEO,Georgiana,71.7
GEO,Osseetti,2.4
GEO,Russian,8.8
GHA,Akan,52.4
GHA,Ewe,11.9
GHA,Ga-adangme,7.8
GHA,Gurma,3.3
GHA,Joruba,1.3
GHA,Mossi,15.8
GIB,Arabic,7.4
GIB,English,88.9
GIN,Ful,38.6
GIN,Kissi,6.0
GIN,Kpelle,4.6
GIN,Loma,2.3
GIN,Malinke,23.2
GIN,Susu,11.0
GIN,Yalunka,2.9
GLP,Creole French,95.0
GLP,French,0.0
GMB,Diola,9.2
GMB,Ful,16.2
GMB,Malinke,34.1
GMB,Soninke,7.6
GMB,Wolof,12.6
GNB,Balante,14.6
GNB,Crioulo,36.4
GNB,Ful,16.6
GNB,Malinke,6.9
GNB,Mandyako,4.9
GNB,Portuguese,8.1
GNQ,Bubi,8.7
GNQ,Fang,84.8
GRC,Greek,98.5
GRC,Turkish,0.9
GRD,Creole English,100.0
GRL,Danish,12.5
GRL,Greenlandic,87.5
GTM,Cakchiquel,8.9
GTM,Kekchí,4.9
GTM,Mam,2.7
GTM,Quiché,10.1
GTM,Spanish,64.7
GUF,Creole French,94.3
GUF,Indian Languages,1.9
GUM,Chamorro,29.6
GUM,English,37.5
GUM,Japanese,2.0
GUM,Korean,3.3
GUM,Philippene Languages,19.7
GUY,Arawakan,1.4
GUY,Caribbean,2.2
GUY,Creole English,96.4
HKG,Canton Chinese,88.7
HKG,Chiu chau,1.4
HKG,English,2.2
HKG,Fukien,1.9
HKG,Hakka,1.6
HND,Creole English,0.2
HND,Garifuna,1.3
HND,Miskito,0.2
HND,Spanish,97.2
HRV,Serbo-Croatian,95.9
HRV,Slovene,0.0
HTI,French,0.0
HTI,Haiti Creole,100.0
HUN,German,0.4
HUN,Hungarian,98.5
HUN,Romani,0.5
HUN,Romanian,0.1
HUN,Serbo-Croatian,0.2
HUN,Slovak,0.1
IDN,Bali,1.7
IDN,Banja,1.8
IDN,Batakki,2.2
IDN,Bugi,2.2
IDN,Javanese,39.4
IDN,Madura,4.3
IDN,Malay,12.1
IDN,Minangkabau,2.4
IDN,Sunda,15.8
IND,Asami,1.5
IND,Bengali,8.2
IND,Gujarati,4.8
IND,Hindi,39.9
IND,Kannada,3.9
IND,Malajalam,3.6
IND,Marathi,7.4
IND,Orija,3.3
IND,Punjabi,2.8
IND,Tamil,6.3
IND,Telugu,7.8
IND,Urdu,5.1
IRL,English,98.4
IRL,Irish,1.6
IRN,Arabic,2.2
IRN,Azerbaijani,16.8
IRN,Bakhtyari,1.7
IRN,Balochi,2.3
IRN,Gilaki,5.3
IRN,Kurdish,9.1
IRN,Luri,4.3
IRN,Mazandarani,3.6
IRN,Persian,45.7
IRN,Turkmenian,1.6
IRQ,Arabic,77.2
IRQ,Assyrian,0.8
IRQ,Azerbaijani,1.7
IRQ,Kurdish,19.0
IRQ,Persian,0.8
ISL,English,0.0
ISL,Icelandic,95.7
ISR,Arabic,18.0
ISR,Hebrew,63.1
ISR,Russian,8.9
ITA,Albaniana,0.2
ITA,French,0.5
ITA,Friuli,1.2
ITA,German,0.5
ITA,Italian,94.1
ITA,Romani,0.2
ITA,Sardinian,2.7
ITA,Slovene,0.2
JAM,Creole English,94.2
JAM,Hindi,1.9
JOR,Arabic,97.9
JOR,Armenian,1.0
JOR,Circassian,1.0
JPN,Ainu,0.0
JPN,Chinese,0.2
JPN,English,0.1
JPN,Japanese,99.1
JPN,Korean,0.5
JPN,Philippene Languages,0.1
KAZ,German,3.1
KAZ,Kazakh,46.0
KAZ,Russian,34.7
KAZ,Tatar,2.0
KAZ,Ukrainian,5.0
KAZ,Uzbek,2.3
KEN,Gusii,6.1
KEN,Kalenjin,10.8
KEN,Kamba,11.2
KEN,Kikuyu,20.9
KEN,Luhya,13.8
KEN,Luo,12.8
KEN,Masai,1.6
KEN,Meru,5.5
KEN,Nyika,4.8
KEN,Turkana,1.4
KGZ,Kazakh,0.8
KGZ,Kirgiz,59.7
KGZ,Russian,16.2
KGZ,Tadzhik,0.8
KGZ,Tatar,1.3
KGZ,Ukrainian,1.7
KGZ,Uzbek,14.1
KHM,Chinese,3.1
KHM,Khmer,88.6
KHM,Tšam,2.4
KHM,Vietnamese,5.5
KIR,Kiribati,98.9
KIR,Tuvalu,0.5
KNA,Creole English,100.0
KNA,English,0.0
KOR,Chinese,0.1
KOR,Korean,99.9
KWT,Arabic,78.1
KWT,English,0.0
LAO,Lao,67.2
LAO,Lao-Soung,5.2
LAO,Mon-khmer,16.5
LAO,Thai,7.8
LBN,Arabic,93.0
LBN,Armenian,5.9
LBN,French,0.0
LBR,Bassa,13.7
LBR,Gio,7.9
LBR,Grebo,8.9
LBR,Kpelle,19.5
LBR,Kru,7.2
LBR,Loma,5.8
LBR,Malinke,5.1
LBR,Mano,7.2
LBY,Arabic,96.0
LBY,Berberi,1.0
LCA,Creole French,80.0
LCA,English,20.0
LIE,German,89.0
LIE,Italian,2.5
LIE,Turkish,2.5
LKA,Mixed Languages,19.6
LKA,Singali,60.3
LKA,Tamil,19.6
LSO,English,0.0
LSO,Sotho,85.0
LSO,Zulu,15.0
LTU,Belorussian,1.4
LTU,Lithuanian,81.6
LTU,Polish,7.0
LTU,Russian,8.1
LTU,Ukrainian,1.1
LUX,French,4.2
LUX,German,2.3
LUX,Italian,4.6
LUX,Luxembourgish,64.4
LUX,Portuguese,13.0
LVA,Belorussian,4.1
LVA,Latvian,55.1
LVA,Lithuanian,1.2
LVA,Polish,2.1
LVA,Russian,32.5
