Country,Expectancy
Angola,38.3
Botswana,39.3
"Central African Republic",44.0
Mozambique,37.5
Malawi,37.6
Namibia,42.5
Niger,41.3
Rwanda,39.3
Swaziland,40.4
Uganda,42.9
