City,Most_Populated
"Ṣo Paulo",9968485
"Rio de Janeiro",5598953
Dhaka,3612850
Sydney,3276207
"Buenos Aires",2982146
Melbourne,2865329
Salvador,2302832
Alger,2168000
"Belo Horizonte",2139125
Fortaleza,2097757
